x,y
81.8733,47.8196
83.0622,48.8606
80.7486,46.2948
80.1716,43.1404
80.0516,45.4356
77.2849,47.6222
77.8921,49.875
73.7973,54.9718
79.487,53.4464
90.3385,58.4182
90.6976,59.5193
90.4405,60.1806
94.4347,61.448
92.5224,63.7242
91.3104,66.0893
92.8602,67.0863
93.6403,65.1081
94.2776,65.8963
88.3446,66.2222
84.6941,67.5258
83.6145,68.6098
90.7497,65.286
89.1166,66.9141
86.7175,65.8958
89.0761,67.0743
91.9372,66.7802
90.5485,67.8455
90.5311,67.8818
87.1139,71.4266
87.6056,71.65
89.4209,71.8605
89.0757,72.3414
83.4747,73.7027
84.7931,73.8705
84.7609,73.4
86.57,72.4301
88.5515,78.0001
89.2774,78.475
90.9058,76.9444
90.9671,76.7327
87.5141,82.8705
87.9759,82.8055
91.7157,86.3304
91.0724,85.5268
90.3491,80.8003
90.1811,81.7105
90.0996,80.29
89.9927,80.2312
90.5615,83.1378
90.6872,81.4926
85.6095,77.5983
85.4803,76.5549
83.5353,77.7187
81.1532,77.4166
81.1767,80.2156
79.7874,78.2852
79.0991,79.0848
80.5578,76.1453
80.506,76.4828
78.3537,74.6965
76.7135,76.4603
77.5079,75.1229
77.951,75.8643
79.7771,77.015
80.2647,76.5549
81.0771,75.8991
80.8711,76.3853
80.6296,72.8318
79.1715,71.8691
77.3741,71.9263
77.6732,71.8297
84.9783,71.7472
83.769,72.9286
80.6311,73.0854
81.328,73.563
83.8257,71.5302
83.28,71.6777
87.8633,68.4778
86.3621,64.8627
83.7394,63.1207
83.3639,66.1259
82.5779,72.5759
80.4195,76.9896
75.2218,76.5675
76.557,73.7868
74.115,72.7357
73.7006,73.0987
72.5568,74.7045
71.0291,82.5089
69.7081,82.8711
68.3815,85.7053
71.8713,92.4173
72.7842,96.9817
75.063,99.3072
74.9137,99.3838
79.7631,96.1167
79.6552,96.3799
83.7398,101.979
81.5565,96.6368
78.0516,97.2163
74.6899,95.6962
76.3728,88.8156
75.0369,89.2768
76.0774,88.3775
78.5758,86.996
80.6329,89.1921
79.2905,86.9666
80.5634,84.0961
79.4988,84.3766
76.4555,81.3868
77.6877,84.1427
77.8975,82.6001
79.84,81.827
79.6682,78.7857
76.7435,74.5334
75.4414,75.5801
67.6602,86.074
75.3161,83.8762
75.2415,83.1623
77.079,86.4957
76.8572,84.4459
78.7972,84.649
74.9737,79.0408
70.2301,81.7636
70.8522,78.7275
70.9028,79.6907
72.4431,79.0382
71.9718,79.7412
72.4234,79.008
72.4944,79.3913
72.8908,80.1097
72.0285,73.736
74.0875,74.3165
71.5002,74.6483
74.6414,75.6685
73.855,78.7076
72.8241,76.084
73.6822,76.5217
75.7335,76.8393
75.7428,76.8576
74.8373,77.6833
72.7264,78.671
72.5231,79.116
72.8069,78.1028
71.9599,75.1432
80.5797,77.0088
75.7179,73.858
77.9262,71.7258
76.1443,65.9035
76.6491,66.3591
79.7228,70.362
75.3661,78.5764
75.3503,76.1697
69.4636,78.3446
68.708,76.6655
67.3767,81.2832
68.0395,83.1725
